# tof, counts, bg
1.004000000000042547e+02,0.000000000000000000e+00,9.342839200992090198e-01
1.008000000000042888e+02,0.000000000000000000e+00,8.942904516067192722e-01
1.012000000000042661e+02,1.000000000000000000e+00,8.559527399903915645e-01
1.016000000000042434e+02,3.000000000000000000e+00,8.214394618601333908e-01
1.020000000000042775e+02,0.000000000000000000e+00,7.878360560603914209e-01
1.024000000000043116e+02,5.000000000000000000e+00,7.551141923589540506e-01
1.028000000000042888e+02,1.000000000000000000e+00,7.227932780703494320e-01
1.032000000000042661e+02,0.000000000000000000e+00,6.909357777524777200e-01
1.036000000000043002e+02,2.000000000000000000e+00,6.599577055065073417e-01
1.040000000000043343e+02,1.000000000000000000e+00,6.298311133724067146e-01
1.044000000000043116e+02,0.000000000000000000e+00,6.005290420075998226e-01
1.048000000000042888e+02,0.000000000000000000e+00,5.717946552810883043e-01
1.052000000000043229e+02,2.000000000000000000e+00,5.437309960226409666e-01
1.056000000000043570e+02,2.000000000000000000e+00,5.164515559547052659e-01
1.060000000000043343e+02,0.000000000000000000e+00,4.899314384354009344e-01
1.064000000000043116e+02,1.000000000000000000e+00,4.658046098217470399e-01
1.068000000000043457e+02,4.000000000000000000e+00,4.452840037244279459e-01
1.072000000000043798e+02,1.000000000000000000e+00,4.253299534780768942e-01
1.076000000000043570e+02,0.000000000000000000e+00,4.059141579971014546e-01
1.080000000000043343e+02,0.000000000000000000e+00,3.870199674619921315e-01
1.084000000000043684e+02,2.000000000000000000e+00,3.686313049619586724e-01
1.088000000000044025e+02,1.000000000000000000e+00,3.507326449709752825e-01
1.092000000000043798e+02,1.000000000000000000e+00,3.332968025768185405e-01
1.096000000000043570e+02,0.000000000000000000e+00,3.163130100605254791e-01
1.100000000000043912e+02,0.000000000000000000e+00,2.997780178290792574e-01
1.104000000000044253e+02,1.000000000000000000e+00,2.836782116601520021e-01
1.108000000000044025e+02,0.000000000000000000e+00,2.680004371925219786e-01
1.112000000000043798e+02,1.000000000000000000e+00,2.527319829458881117e-01
1.116000000000044139e+02,0.000000000000000000e+00,2.378176521370473084e-01
1.120000000000044480e+02,0.000000000000000000e+00,2.231000551298372159e-01
1.124000000000044253e+02,0.000000000000000000e+00,2.087863666810005348e-01
1.128000000000044025e+02,1.000000000000000000e+00,1.952860338430903175e-01
1.132000000000044366e+02,0.000000000000000000e+00,1.855783751109160440e-01
1.136000000000044707e+02,0.000000000000000000e+00,1.761294007941205109e-01
1.140000000000044480e+02,0.000000000000000000e+00,1.669313421467713277e-01
1.144000000000044253e+02,0.000000000000000000e+00,1.579719727992178746e-01
1.148000000000044594e+02,0.000000000000000000e+00,1.492134632605237599e-01
1.152000000000044935e+02,0.000000000000000000e+00,1.406887110456811751e-01
1.156000000000044707e+02,1.000000000000000000e+00,1.323907356953489545e-01
1.160000000000044480e+02,0.000000000000000000e+00,1.243127866079657279e-01
1.164000000000044821e+02,0.000000000000000000e+00,1.164483347948966352e-01
1.168000000000045162e+02,0.000000000000000000e+00,1.087910649543217395e-01
1.172000000000044935e+02,0.000000000000000000e+00,1.013348678507085820e-01
